cell id,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness
20200406_sample_23,2.403137338997107,70.61272859573364,0.9557868302473361,0.990799773690094,0.23175262001047953,-37.81398385763168,0.5200000000000204,0.0,-14.721717685461044,0.0,0.0005240611785266594,1.3048780487804865,1.0840971866445477,0.2146314038883972,159.46859159817302,85.12,27.840000000000003,53,10.853537124492895,7.598785943351139,1,-58.42958431318402,51.53846153846153,42.697175071984155,1.1757801800294787,0.48552,0.7931034482758621,1.2041058458482978,0.0
20200406_sample_22,2.8319456034482555,68.13067384064198,0.9572714054716851,0.9912457856782364,0.2880253611330078,-42.569104582071304,0.5600000000000049,0.0,-10.949313640594482,0.0,0.0011741960794744274,0.7662337662337649,1.065979461469434,0.28640961040189905,136.2411600471075,52.36000000000002,29.76000000000001,42,15.635379648153238,17.441481755419893,7,-59.316810205578804,40.0,45.02788532257086,1.3829060095504309,0.51248,0.68,1.2443494678638696,0.0
20200413_sample_9,0.4258193348867019,73.74449633061886,0.829288461535118,0.9843131669261178,0.08514722945977767,-24.264903739094734,0.7600000000000107,0.0,-8.387381210923195,0.6839916839916839,0.004234536170212766,4.315068493150684,1.6402053363266214,0.3355899921404207,79.82883990431827,54.559999999999995,40.76000000000002,16,10.144381332028527,0.9015771729381257,0,-58.18003346920013,200.0,0.0,1.127189268697434,0.0,0.6,2.0624325673847532,0.0
20200403_sample_1,0.9268500670747003,69.67251002788544,0.8214679180248753,0.7869713475076594,0.12775095764516367,-41.54275730252266,0.8400000000000074,0.0,-7.841318845748901,0.0,0.013351170068027213,1.3828571428571408,1.4843526535193199,0.6877813294733769,309.45639557639754,68.64,36.12000000000001,6,14.4003440689205,7.761010937819194,0,-74.47951160520316,60.0,62.629609451293625,1.2645112705098667,0.4454000000000001,0.0,1.250480866758536,0.0
20200408_sample_11,3.5393199822600545,81.79237507283688,0.8196136515640797,0.9447275937781565,0.2741772949854073,-51.38308182358742,0.7200000000000262,0.0,3.019224852323532,0.0,0.06952750298790265,1.5447154471544826,1.4304933082700169,1.3505816945092868,263.4420629938444,85.08000000000001,51.04,13,22.332083762318003,1.5106328505616347,0,-67.324302816391,40.0,0.0,1.0370252669204214,0.0,0.18181818181818182,1.5477436254781165,0.0
20200408_sample_14,1.478749481774031,62.17411160469055,0.9384037891954917,0.9879161758027966,0.19457183081269439,-41.214507073163986,0.5199999999999927,0.0,-12.483339756727219,0.7099863201094397,0.0015729171033185558,0.751322751322749,1.720780392580842,0.3250602837173749,113.70752333849673,119.00000000000003,52.00000000000002,41,13.017221857328735,14.731361804274847,3,-66.81411847174168,48.57142857142857,36.54988813549288,1.4353149967304881,0.41368000000000005,0.7083333333333334,1.1775337530401708,0.0
20200409_sample_1,1.275274897295239,80.0776444375515,0.9254878889442131,0.9854295795697466,0.16630370872346234,-49.68392476439476,0.6000000000000033,0.0,-6.711874157190323,0.6141682479443388,0.0009258185237368539,1.972850678733031,1.2935566482634349,0.2678249357449561,188.24291617920005,18.799999999999997,7.080000000000003,47,16.154022671619224,3.335391284876458,1,-55.17567140683532,9.166666666666668,0.0,1.0312146463708978,0.0,0.84,1.1387844483119427,0.0
20200408_sample_18,0.9645215954143743,67.74535030126572,0.9659721268981226,0.9900629499580316,0.14617178230746708,-36.68411821126938,0.5200000000000204,0.0,-12.710478156805038,0.7563812600969304,0.001156078148336903,1.3793103448275843,1.1872655945481119,0.30013320783915975,129.62377258638537,48.48,27.840000000000003,49,9.754465062583535,12.437653098419759,6,-56.576031441241504,48.36363636363636,40.08677564457028,1.4108100537302737,0.4965200000000001,0.6785714285714286,1.1426927139834184,2.0
20200413_sample_16,0.6393411636971755,84.61467362940311,0.8584321278814331,0.9907839034610603,0.1031183217927932,-30.9178214520216,0.9600000000000164,0.0,-5.309050902724266,0.43111831442463544,0.0015013760775862074,2.0434782608695636,1.4455709859510455,0.224851489360988,93.90859392285344,79.28000000000002,51.28000000000002,21,12.45625731983883,1.0591601611074069,0,-62.72370423227549,140.0,0.0,1.0955626212140566,0.0,0.75,3.110480625190899,0.0
20200403_sample_8,2.5238298158999055,63.987972214818,0.962154910327197,0.9914676382048294,0.25068866452525973,-33.994827419519424,0.5600000000000049,0.0,-12.868829071521759,0.0,0.00010784355650585738,1.4434050514499535,1.081603674111172,0.12301381228538034,185.72137705733377,35.680000000000014,25.040000000000006,85,10.693293927522276,7.495644443322973,0,-60.0674450814724,62.162162162162126,47.938890377580904,1.4319658952176453,0.4920800000000001,0.8666666666666667,1.1250577302088196,0.0
